,all_hits,description,hit_num,name,species
48,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_RAZO01000515.1 Pseudomonas sp. Sample_9 NODE_2563_length_960_cov_19.849724, whole genome shotgun sequence",11.0,NZ_RAZO01000515.1,Pseudomonas sp.
49,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_CP027759.1 Pseudomonas sp. R2-7-07 chromosome, complete genome",6.0,NZ_CP027759.1,Pseudomonas sp.
50,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_QTUH01000043.1 Pseudomonas sp. OV657 Ga0215810_143, whole genome shotgun sequence",5.0,NZ_QTUH01000043.1,Pseudomonas sp.
51,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_BCBA01000109.1 Pseudomonas sp. NBRC 111124, whole genome shotgun sequence",12.0,NZ_BCBA01000109.1,Pseudomonas sp.
52,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_AKJQ01000091.1 Pseudomonas sp. GM25 PMI24_contig_184.184, whole genome shotgun sequence",5.0,NZ_AKJQ01000091.1,Pseudomonas sp.
53,A1_expanded A2_expanded TcB_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_AKJR01000399.1 Pseudomonas sp. GM24 PMI23_contig_476.476, whole genome shotgun sequence",10.0,NZ_AKJR01000399.1,Pseudomonas sp.
54,A1_expanded A2_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"JAAAKW010000055.1 Pseudomonas sp. SLFW SLFWS8_55, whole genome shotgun sequence",7.0,JAAAKW010000055.1,Pseudomonas sp.
55,A1_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_SOCG01000010.1 Pseudomonas sp. OV144 Ga0215795_110, whole genome shotgun sequence",8.0,NZ_SOCG01000010.1,Pseudomonas sp.
56,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_BCBN01000125.1 Pseudomonas sp. NBRC 111137, whole genome shotgun sequence",10.0,NZ_BCBN01000125.1,Pseudomonas sp.
57,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_PPRZ01000380.1 Pseudomonas sp. MPBD7-1 NODE_381_length_207_cov_6.95385, whole genome shotgun sequence",8.0,NZ_PPRZ01000380.1,Pseudomonas sp.
58,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_FYEA01000033.1 Pseudomonas sp. Irchel 3H7 isolate Pseudomonas sp. Irchel 3H7, whole genome shotgun sequence",6.0,NZ_FYEA01000033.1,Pseudomonas sp.
59,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_FMUL01000047.1 Pseudomonas sp. NFACC32-1, whole genome shotgun sequence",6.0,NZ_FMUL01000047.1,Pseudomonas sp.
60,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_CP023969.1 Pseudomonas sp. FDAARGOS_380 chromosome, complete genome",6.0,NZ_CP023969.1,Pseudomonas sp.
61,A1_expanded A2_expanded TcB_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_BCBO01000195.1 Pseudomonas sp. NBRC 111138, whole genome shotgun sequence",8.0,NZ_BCBO01000195.1,Pseudomonas sp.
62,TcB_expanded TcdA1_expanded TcdA1_expanded TcdA1_expanded TcC_expanded,"NZ_FORB01000034.1 Pseudomonas sp. NFPP11, whole genome shotgun sequence",5.0,NZ_FORB01000034.1,Pseudomonas sp.
63,A1_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_LMGQ01000029.1 Pseudomonas sp. Root569 contig_9, whole genome shotgun sequence",6.0,NZ_LMGQ01000029.1,Pseudomonas sp.
64,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NKIG01000124.1 Pseudomonas sp. PGPPP1 NODE_16120, whole genome shotgun sequence",4.0,NKIG01000124.1,Pseudomonas sp.
65,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_LMGK01000026.1 Pseudomonas sp. Root562 contig_9, whole genome shotgun sequence",10.0,NZ_LMGK01000026.1,Pseudomonas sp.
66,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_QKLY01000024.1 Pseudomonas sp. OV467 Ga0215805_124, whole genome shotgun sequence",4.0,NZ_QKLY01000024.1,Pseudomonas sp.
67,A1_expanded A2_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_VZZS01000049.1 Pseudomonas sp. MNR3A NODE_73_length_5695_cov_223.664612, whole genome shotgun sequence",10.0,NZ_VZZS01000049.1,Pseudomonas sp.
68,A1_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded,"LKBL01002861.1 Pseudomonas sp. ABAC21 scaffold9_001, whole genome shotgun sequence",5.0,LKBL01002861.1,Pseudomonas sp.
69,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_QAJM01000070.1 Pseudomonas sp. KBW05 KBW5_ACAGTG_contig_71, whole genome shotgun sequence",5.0,NZ_QAJM01000070.1,Pseudomonas sp.
70,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_VCNG01000086.1 Pseudomonas sp. ICMP22404 contig00086, whole genome shotgun sequence",10.0,NZ_VCNG01000086.1,Pseudomonas sp.
71,A1_expanded A2_expanded TcB_expanded TcC_expanded,"NZ_SEIT01000119.1 Pseudomonas sp. B10 NODE_119, whole genome shotgun sequence",4.0,NZ_SEIT01000119.1,Pseudomonas sp.
72,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_QTTH01000050.1 Pseudomonas sp. 443 Ga0255686_150, whole genome shotgun sequence",7.0,NZ_QTTH01000050.1,Pseudomonas sp.
73,A2_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded,"NZ_MULM01000185.1 Pseudomonas sp. VI4.1 NODE_1_length_285953_cov_58.5053, whole genome shotgun sequence",5.0,NZ_MULM01000185.1,Pseudomonas sp.
74,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_SOZA01000107.1 Pseudomonas sp. RIT623, whole genome shotgun sequence",5.0,NZ_SOZA01000107.1,Pseudomonas sp.
75,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_MJML01000057.1 Pseudomonas sp. AF76 seq9, whole genome shotgun sequence",6.0,NZ_MJML01000057.1,Pseudomonas sp.
76,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_MUIN01000073.1 Pseudomonas sp. Bc-h sc_073, whole genome shotgun sequence",10.0,NZ_MUIN01000073.1,Pseudomonas sp.
77,A1_expanded A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_PODL01000171.1 Pseudomonas sp. FW305-20 NODE_192_length_229_cov_0.947368, whole genome shotgun sequence",5.0,NZ_PODL01000171.1,Pseudomonas sp.
78,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_PENW01000035.1 Proteus sp. FJ2001126-3 C557, whole genome shotgun sequence",5.0,NZ_PENW01000035.1,Proteus sp.
79,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_JAABNE010000136.1 Proteus sp. G2639 contig136, whole genome shotgun sequence",3.0,NZ_JAABNE010000136.1,Proteus sp.
80,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_PENZ01000052.1 Proteus sp. TJ1636 C1107, whole genome shotgun sequence",3.0,NZ_PENZ01000052.1,Proteus sp.
81,A2_expanded TcB_expanded TcC_expanded TcC_expanded,"NZ_PENX01000027.1 Proteus sp. CA142267 Scaffold27_1, whole genome shotgun sequence",4.0,NZ_PENX01000027.1,Proteus sp.
82,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_JAABMA010000050.1 Proteus sp. G2665 contig50, whole genome shotgun sequence",5.0,NZ_JAABMA010000050.1,Proteus sp.
83,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_JAABLV010000025.1 Proteus sp. G2671 contig25, whole genome shotgun sequence",3.0,NZ_JAABLV010000025.1,Proteus sp.
84,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_JAABLU010000039.1 Proteus sp. G2672 contig39, whole genome shotgun sequence",4.0,NZ_JAABLU010000039.1,Proteus sp.
85,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_JAABNK010000025.1 Proteus sp. G2300 contig25, whole genome shotgun sequence",3.0,NZ_JAABNK010000025.1,Proteus sp.
86,TcB_expanded TcdA1_expanded TcC_expanded,"JAABLX010000056.1 Proteus sp. G2669 contig56, whole genome shotgun sequence",3.0,JAABLX010000056.1,Proteus sp.
87,TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_CP019686.1 Proteus sp. CD3 chromosome, complete genome",5.0,NZ_CP019686.1,Proteus sp.
88,TcB_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_PGEO01000001.1 Streptomyces sp. 2333.5 Ga0151173_11, whole genome shotgun sequence",5.0,NZ_PGEO01000001.1,Streptomyces sp.
89,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_JH941054.1 Streptomyces sp. SS scaffold38, whole genome shotgun sequence",3.0,NZ_JH941054.1,Streptomyces sp.
90,TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_RPSA01000026.1 Streptomyces sp. WAC01280 AA000273-26_WAC01280, whole genome shotgun sequence",6.0,NZ_RPSA01000026.1,Streptomyces sp.
91,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_JOIX01000228.1 Streptomyces sp. NRRL S-337 contig228.1, whole genome shotgun sequence",3.0,NZ_JOIX01000228.1,Streptomyces sp.
92,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_KB897775.1 Streptomyces sp. CNY243 C594DRAFT_scaffold00063.63, whole genome shotgun sequence",4.0,NZ_KB897775.1,Streptomyces sp.
93,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_CP029618.1 Streptomyces sp. WAC 06738 chromosome, complete genome",4.0,NZ_CP029618.1,Streptomyces sp.
94,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_WUNA01000095.1 Streptomyces sp. HUCO-GS316 Scaffold90_1, whole genome shotgun sequence",3.0,NZ_WUNA01000095.1,Streptomyces sp.
95,A2_expanded TcB_expanded TcC_expanded,"NZ_JAAGLX010000268.1 Streptomyces sp. SID13666 NODE_268_length_225_cov_95.6224_ID_535/0, whole genome shotgun sequence",3.0,NZ_JAAGLX010000268.1,Streptomyces sp.
96,TcB_expanded TcdA1_expanded TcC_expanded,NZ_LT907981.1 Streptomyces sp. 2323.1 chromosome I,3.0,NZ_LT907981.1,Streptomyces sp.
97,A2_expanded TcB_expanded TcC_expanded,"NZ_JOGP01000180.1 Streptomyces sp. NRRL B-3229 contig180.1, whole genome shotgun sequence",3.0,NZ_JOGP01000180.1,Streptomyces sp.
98,A2_expanded TcB_expanded TcdA1_expanded,"NZ_CP013429.1 Burkholderia sp. MSMB0856 chromosome 3, complete sequence",3.0,NZ_CP013429.1,Burkholderia sp.
99,A1_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_LOYJ01000133.1 Burkholderia sp. MSMB1498 MSMB1498_99, whole genome shotgun sequence",8.0,NZ_LOYJ01000133.1,Burkholderia sp.
100,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded TcC_expanded,"NZ_SSWO01000061.1 Burkholderia sp. LS-044 contig62, whole genome shotgun sequence",5.0,NZ_SSWO01000061.1,Burkholderia sp.
101,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_QTPO01000204.1 Burkholderia sp. Bp9143 BURSP-Bp9143-2809P1S1-EN-PRI-2017-064-DW_S40_409, whole genome shotgun sequence",3.0,NZ_QTPO01000204.1,Burkholderia sp.
102,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_QTPW01000119.1 Burkholderia sp. Bp9031 BURSP-Bp9031-6002P2S3-EN-PRI-2017-064-DW_S36_239, whole genome shotgun sequence",3.0,NZ_QTPW01000119.1,Burkholderia sp.
103,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_OCSV01000008.1 Burkholderia sp. YR290, whole genome shotgun sequence",3.0,NZ_OCSV01000008.1,Burkholderia sp.
104,A1_expanded A1_expanded A2_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_FTPM01000002.1 Burkholderia sp. b13, whole genome shotgun sequence",15.0,NZ_FTPM01000002.1,Burkholderia sp.
105,A1_expanded A2_expanded TcB_expanded TcB_expanded TcB_expanded TcdA1_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"NZ_FTPJ01000003.1 Burkholderia sp. b14, whole genome shotgun sequence",10.0,NZ_FTPJ01000003.1,Burkholderia sp.
106,A2_expanded TcB_expanded TcC_expanded,"NZ_WSEM01000042.1 Paenibacillus sp. MAH-34 GCM70011526_42, whole genome shotgun sequence",3.0,NZ_WSEM01000042.1,Paenibacillus sp.
107,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_WSTC01000100.1 Paenibacillus sp. MMS18-CY102, whole genome shotgun sequence",3.0,NZ_WSTC01000100.1,Paenibacillus sp.
108,TcB_expanded Chitinase_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_LMXH01000018.1 Paenibacillus sp. FJAT-26967 scaffold18, whole genome shotgun sequence",5.0,NZ_LMXH01000018.1,Paenibacillus sp.
109,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_CP048209.1 Paenibacillus sp. 12200R-189 chromosome, complete genome",3.0,NZ_CP048209.1,Paenibacillus sp.
110,TcB_expanded Chitinase_expanded TcdA1_expanded TcC_expanded,"NZ_RHLK01000044.1 Paenibacillus sp. N10 scaffold68, whole genome shotgun sequence",4.0,NZ_RHLK01000044.1,Paenibacillus sp.
111,TcB_expanded TcdA1_expanded TcC_expanded,"NZ_RQPI01000039.1 Paenibacillus sp. 7197 Scaffold39, whole genome shotgun sequence",3.0,NZ_RQPI01000039.1,Paenibacillus sp.
112,TcB_expanded TcB_expanded TcdA1_expanded TcC_expanded TcC_expanded TcC_expanded,"JAAHIE010001451.1 Moorea sp. SIO4E2 4E2_NODE_1451, whole genome shotgun sequence",6.0,JAAHIE010001451.1,Moorea sp.
113,TcB_expanded TcdA1_expanded TcC_expanded,"JAAHFV010000687.1 Moorea sp. SIO1F2 1F2_NODE_687, whole genome shotgun sequence",3.0,JAAHFV010000687.1,Moorea sp.
114,A2_expanded A2_expanded TcdA1_expanded TcdA1_expanded TcC_expanded,"JAAHHQ010002143.1 Moorea sp. SIO3G5 3G5_NODE_2143, whole genome shotgun sequence",5.0,JAAHHQ010002143.1,Moorea sp.
