NC_013715.1 Rothia mucilaginosa DY-18, complete genome
NC_004631.1 Salmonella enterica subsp. enterica serovar Typhi str. Ty2, complete sequence
NC_002662.1 Lactococcus lactis subsp. lactis Il1403, complete sequence
NC_004319.1 Corynebacterium efficiens YS-314 plasmid pCE2, complete sequence
NC_004320.1 Corynebacterium efficiens YS-314 plasmid pCE3, complete sequence
NC_004369.1 Corynebacterium efficiens YS-314, complete genome
NC_002944.2 Mycobacterium avium subsp. paratuberculosis K-10, complete sequence
NC_002127.1 Escherichia coli O157:H7 str. Sakai plasmid pOSAK1, complete sequence
NC_002128.1 Escherichia coli O157:H7 str. Sakai plasmid pO157, complete sequence
NC_002695.2 Escherichia coli O157:H7 str. Sakai DNA, complete genome
NC_007899.1 Chlamydia felis Fe/C-56, complete genome
NC_007900.1 Chlamydia felis Fe/C-56 plasmid pCfe1, complete sequence
NC_017110.1 Acetobacter pasteurianus IFO 3283-07 plasmid pAPA07-030, complete sequence
NC_017121.1 Acetobacter pasteurianus IFO 3283-07, complete genome
NC_017122.1 Acetobacter pasteurianus IFO 3283-07 plasmid pAPA07-020, complete sequence
NC_017123.1 Acetobacter pasteurianus IFO 3283-07 plasmid pAPA07-040, complete sequence
NC_017124.1 Acetobacter pasteurianus IFO 3283-07 plasmid pAPA07-060, complete sequence
NC_017143.1 Acetobacter pasteurianus IFO 3283-07 plasmid pAPA07-010, complete sequence
NC_017144.1 Acetobacter pasteurianus IFO 3283-07 plasmid pAPA07-050, complete sequence
NC_003197.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2, complete genome
NC_003277.2 Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 plasmid pSLT, complete sequence
NC_009782.1 Staphylococcus aureus subsp. aureus Mu3, complete genome
NC_004252.1 Bifidobacterium longum DJO10A plasmid pDOJH10L, complete sequence
NC_004253.1 Bifidobacterium longum DJO10A plasmid pDOJH10S, complete sequence
NC_010816.1 Bifidobacterium longum DJO10A, complete genome
NC_002952.2 Staphylococcus aureus subsp. aureus MRSA252, complete genome
NC_007350.1 Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292, complete genome
NC_007351.1 Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292 plasmid pSSP1, complete sequence
NC_007352.1 Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292 plasmid pSSP2, complete sequence
NC_004545.1 Buchnera aphidicola str. Bp (Baizongia pistaciae), complete genome
NC_004555.1 Buchnera aphidicola str. Bp (Baizongia pistaciae) plasmid pBBp1, complete sequence
NC_005945.1 Bacillus anthracis str. Sterne, complete sequence
NC_008767.1 Neisseria meningitidis FAM18, complete genome
NC_004668.1 Enterococcus faecalis V583, complete sequence
NC_004669.1 Enterococcus faecalis V583 plasmid pTEF1, complete sequence
NC_004670.1 Enterococcus faecalis V583 plasmid pTEF3, complete sequence
NC_004671.1 Enterococcus faecalis V583 plasmid pTEF2, complete sequence
NC_017117.1 Acetobacter pasteurianus IFO 3283-22 plasmid pAPA22-010, complete sequence
NC_017125.1 Acetobacter pasteurianus IFO 3283-22, complete genome
NC_017126.1 Acetobacter pasteurianus IFO 3283-22 plasmid pAPA22-020, complete sequence
NC_017127.1 Acetobacter pasteurianus IFO 3283-22 plasmid pAPA22-030, complete sequence
NC_017128.1 Acetobacter pasteurianus IFO 3283-22 plasmid pAPA22-050, complete sequence
NC_017129.1 Acetobacter pasteurianus IFO 3283-22 plasmid pAPA22-060, complete sequence
NC_017145.1 Acetobacter pasteurianus IFO 3283-22 plasmid pAPA22-040, complete sequence
NC_004350.2 Streptococcus mutans UA159, complete sequence
NC_004663.1 Bacteroides thetaiotaomicron VPI-5482, complete sequence
NC_004703.1 Bacteroides thetaiotaomicron VPI-5482 plasmid p5482, complete sequence
NC_002488.3 Xylella fastidiosa 9a5c, complete sequence
NC_002489.3 Xylella fastidiosa 9a5c plasmid pXF1.3, complete sequence
NC_002490.1 Xylella fastidiosa 9a5c plasmid pXF51, complete sequence
NC_006512.1 Idiomarina loihiensis L2TR, complete sequence
NC_007504.1 Xanthomonas campestris pv. vesicatoria str. 85-10 plasmid pXCV2, complete sequence
NC_007505.1 Xanthomonas campestris pv. vesicatoria str. 85-10 plasmid pXCV19, complete sequence
NC_007506.1 Xanthomonas campestris pv. vesicatoria str. 85-10 plasmid pXCV38, complete sequence
NC_007507.1 Xanthomonas campestris pv. vesicatoria str. 85-10 plasmid pXCV183, complete sequence
NC_007508.1 Xanthomonas campestris pv. vesicatoria str. 85-10, complete genome
NC_002737.1 Streptococcus pyogenes SF370 chromosome, complete genome
NC_003485.1 Streptococcus pyogenes MGAS8232, complete sequence
NC_003116.1 Neisseria meningitidis Z2491, complete genome
NC_006360.1 Mycoplasma hyopneumoniae 232, complete genome
NC_004554.1 Xylella fastidiosa Temecula1 plasmid pXFPD1.3, complete sequence
NC_004556.1 Xylella fastidiosa Temecula1, complete sequence
NC_002505.1 Vibrio cholerae O1 biovar El Tor str. N16961 chromosome I, complete sequence
NC_002506.1 Vibrio cholerae O1 biovar El Tor str. N16961 chromosome II, complete sequence
NC_017104.1 Acetobacter pasteurianus IFO 3283-01-42C plasmid pAPA42C_011, complete sequence
NC_017105.1 Acetobacter pasteurianus IFO 3283-01-42C plasmid pAPA42C_020, complete sequence
NC_017106.1 Acetobacter pasteurianus IFO 3283-01-42C plasmid pAPA42C_040, complete sequence
NC_017107.1 Acetobacter pasteurianus IFO 3283-01-42C plasmid pAPA42C_050, complete sequence
NC_017150.1 Acetobacter pasteurianus IFO 3283-01-42C, complete genome
NC_017151.1 Acetobacter pasteurianus IFO 3283-01-42C plasmid pAPA42C_030, complete sequence
NC_017152.1 Acetobacter pasteurianus IFO 3283-01-42C plasmid pAPA42C_060, complete sequence
NC_012121.1 Staphylococcus carnosus subsp. carnosus TM300, complete genome
NC_006855.1 Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67 plasmid pSCV50, complete sequence
NC_006856.1 Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67 plasmid pSC138, complete sequence
NC_006905.1 Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67, complete genome
NC_006300.1 [Mannheimia] succiniciproducens MBEL55E, complete sequence
NC_002939.5 Geobacter sulfurreducens PCA, complete sequence
NC_010609.1 Lactobacillus reuteri JCM 1112, complete genome
NC_006570.2 Francisella tularensis subsp. tularensis SCHU S4, complete genome
NC_006529.1 Lactobacillus salivarius UCC118 plasmid pSF118-20, complete sequence
NC_006530.1 Lactobacillus salivarius UCC118 plasmid pSF118-44, complete sequence
NC_007929.1 Lactobacillus salivarius UCC118, complete sequence
NC_007930.1 Lactobacillus salivarius UCC118 plasmid pMP118, complete sequence
NC_011995.1 Macrococcus caseolyticus JCSC5402 plasmid pMCCL1, complete sequence
NC_011996.1 Macrococcus caseolyticus JCSC5402 plasmid pMCCL2, complete sequence
NC_011997.1 Macrococcus caseolyticus JCSC5402 plasmid pMCCL3, complete sequence
NC_011998.1 Macrococcus caseolyticus JCSC5402 plasmid pMCCL4, complete sequence
NC_011999.1 Macrococcus caseolyticus JCSC5402, complete genome
NC_012000.1 Macrococcus caseolyticus JCSC5402 plasmid pMCCL5, complete sequence
NC_012001.1 Macrococcus caseolyticus JCSC5402 plasmid pMCCL6, complete sequence
NC_012002.1 Macrococcus caseolyticus JCSC5402 plasmid pMCCL7, complete sequence
NC_012003.1 Macrococcus caseolyticus JCSC5402 plasmid pMCCL8, complete sequence
NC_004337.2 Shigella flexneri 2a str. 301 chromosome, complete genome
NC_004851.1 Shigella flexneri 2a str. 301 plasmid pCP301, complete sequence
NC_007626.1 Magnetospirillum magneticum AMB-1, complete genome
NC_006297.1 Bacteroides fragilis YCH46 plasmid pBFY46, complete sequence
NC_006347.1 Bacteroides fragilis YCH46, complete genome
NC_002570.2 Bacillus halodurans C-125, complete genome
NC_004632.1 Pseudomonas syringae pv. tomato str. DC3000 plasmid pDC3000B, complete sequence
NC_004633.1 Pseudomonas syringae pv. tomato str. DC3000 plasmid pDC3000A, complete sequence
NC_011407.1 Escherichia coli SE11 plasmid pSE11-4, complete sequence
NC_011408.1 Escherichia coli SE11 plasmid pSE11-5, complete sequence
NC_011411.1 Escherichia coli SE11 plasmid pSE11-6, complete sequence
NC_011413.1 Escherichia coli SE11 plasmid pSE11-2, complete sequence
NC_011415.1 Escherichia coli SE11, complete genome
NC_011416.1 Escherichia coli SE11 plasmid pSE11-3, complete sequence
NC_011419.1 Escherichia coli SE11 plasmid pSE11-1, complete sequence
NC_010572.1 Streptomyces griseus subsp. griseus NBRC 13350, complete genome
NC_004307.2 Bifidobacterium longum NCC2705, complete sequence
NC_004943.1 Bifidobacterium longum NCC2705 plasmid pBLO1, complete sequence
NC_002950.2 Porphyromonas gingivalis W83, complete sequence
NC_006908.1 Mycoplasma mobile 163K complete genome
NC_002758.2 Staphylococcus aureus subsp. aureus Mu50, complete genome
NC_002774.1 Staphylococcus aureus subsp. aureus Mu50 plasmid VRSAp, complete sequence
NC_004432.1 Mycoplasma penetrans HF-2, complete genome
NC_003103.1 Rickettsia conorii str. Malish 7, complete sequence
NC_003869.1 Caldanaerobacter subterraneus subsp. tengcongensis MB4, complete sequence
NC_008260.1 Alcanivorax borkumensis SK2, complete genome
NC_008512.1 Candidatus Carsonella ruddii PV DNA, complete genome
NC_009663.1 Sulfurovum sp. NBC37-1, complete genome
NC_011274.1 Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91, complete genome
NC_002978.6 Wolbachia endosymbiont of Drosophila melanogaster, complete sequence
NC_006087.1 Leifsonia xyli subsp. xyli str. CTCB07, complete genome
NC_017333.1 Staphylococcus aureus subsp. aureus ST398, complete genome
NC_017334.1 Staphylococcus aureus subsp. aureus ST398 plasmid pS0385-1, complete sequence
NC_017335.1 Staphylococcus aureus subsp. aureus ST398 plasmid pS0385-2, complete sequence
NC_017336.1 Staphylococcus aureus subsp. aureus ST398 plasmid pS0385-3, complete sequence
NC_007356.1 Dehalococcoides mccartyi CBDB1, complete genome
NC_000915.1 Helicobacter pylori 26695, complete sequence
NC_004061.1 Buchnera aphidicola str. Sg (Schizaphis graminum), complete sequence
NC_002163.1 Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 chromosome, complete genome
NC_002755.2 Mycobacterium tuberculosis CDC1551, complete sequence
NC_010296.1 Microcystis aeruginosa NIES-843, complete genome
NC_006361.1 Nocardia farcinica IFM 10152, complete genome
NC_006362.1 Nocardia farcinica IFM 10152 plasmid pNF1, complete sequence
NC_006363.1 Nocardia farcinica IFM 10152 plasmid pNF2, complete sequence
NC_003112.2 Neisseria meningitidis MC58, complete sequence
NC_002491.1 Chlamydia pneumoniae J138, complete genome
NC_002932.3 Chlorobaculum tepidum TLS, complete sequence
NC_007705.1 Xanthomonas oryzae pv. oryzae MAFF 311018, complete genome
NC_013939.1 Deferribacter desulfuricans SSM1, complete genome
NC_013940.1 Deferribacter desulfuricans SSM1 megaplasmid pDF308, complete sequence
NC_005042.1 Prochlorococcus marinus subsp. marinus str. CCMP1375, complete sequence
NC_006526.2 Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821, complete sequence
NC_000922.1 Chlamydia pneumoniae CWL029, complete sequence
NC_007880.1 Francisella tularensis subsp. holarctica LVS, complete genome
NC_017463.1 Francisella tularensis subsp. holarctica OSU18, complete genome
NC_004741.1 Shigella flexneri 2a str. 2457T, complete sequence
NC_007294.1 Mycoplasma synoviae 53, complete genome
NC_005128.1 Vibrio vulnificus YJ016 plasmid pYJ016, complete sequence
NC_005139.1 Vibrio vulnificus YJ016 chromosome I, complete sequence
NC_005140.1 Vibrio vulnificus YJ016 chromosome II, complete sequence
NC_017108.1 Acetobacter pasteurianus IFO 3283-12, complete genome
NC_017113.1 Acetobacter pasteurianus IFO 3283-12 plasmid pAPA12-020, complete sequence
NC_017114.1 Acetobacter pasteurianus IFO 3283-12 plasmid pAPA12-030, complete sequence
NC_017115.1 Acetobacter pasteurianus IFO 3283-12 plasmid pAPA12-040, complete sequence
NC_017116.1 Acetobacter pasteurianus IFO 3283-12 plasmid pAPA12-050, complete sequence
NC_017136.1 Acetobacter pasteurianus IFO 3283-12 plasmid pAPA12-014, complete sequence
NC_017137.1 Acetobacter pasteurianus IFO 3283-12 plasmid pAPA12-060, complete sequence
NC_010801.1 Burkholderia multivorans ATCC 17616 chromosome 3, complete sequence
NC_010802.1 Burkholderia multivorans ATCC 17616 plasmid pTGL1, complete sequence
NC_010804.1 Burkholderia multivorans ATCC 17616 chromosome 1, complete sequence
NC_010805.1 Burkholderia multivorans ATCC 17616 chromosome 2, complete sequence
NC_017102.1 Acetobacter pasteurianus IFO 3283-32 plasmid pAPA32-040, complete sequence
NC_017103.1 Acetobacter pasteurianus IFO 3283-32 plasmid pAPA32-050, complete sequence
NC_017111.1 Acetobacter pasteurianus IFO 3283-32, complete genome
NC_017112.1 Acetobacter pasteurianus IFO 3283-32 plasmid pAPA32-060, complete sequence
NC_017134.1 Acetobacter pasteurianus IFO 3283-32 plasmid pAPA32-012, complete sequence
NC_017135.1 Acetobacter pasteurianus IFO 3283-32 plasmid pAPA32-030, complete sequence
