NZ_CP016824.1 Streptomyces sampsonii strain KJ40 chromosome, complete genome
NZ_CP031272.1 Staphylococcus caprae strain 26D plasmid unnamed1, complete sequence
NZ_CP016192.1 Mycobacteroides abscessus strain FLAC046 chromosome, complete genome
NZ_CP028683.1 Escherichia coli strain 112 chromosome, complete genome
NZ_CP028684.1 Escherichia coli strain 112 plasmid pTA112, complete sequence
NZ_CP019730.1 Pseudomonas syringae pv. actinidiae strain CRAFRU 12.29 chromosome, complete genome
NZ_CP019731.1 Pseudomonas syringae pv. actinidiae strain CRAFRU 12.29 plasmid unnamed, complete sequence
NZ_CP009477.1 Burkholderia pseudomallei MSHR2543 chromosome II, complete sequence
NZ_CP009754.1 Streptomyces sp. CCM_MD2014 chromosome, complete genome
NZ_CP019428.1 Pseudomonas sp. R76 chromosome, complete genome
NZ_CP019429.1 Pseudomonas sp. R76 plasmid p76, complete sequence
NZ_CP012060.1 Xanthomonas sp. ISO98C4 chromosome, complete genome
NZ_CP012061.1 Xanthomonas sp. ISO98C4 plasmid pNX59, complete sequence
NZ_CP012062.1 Xanthomonas sp. ISO98C4 plasmid pNX47, complete sequence
NZ_CP053844.1 Campylobacter geochelonis strain LMG 29375 chromosome, complete genome
NZ_CP022378.1 Capnocytophaga cynodegmi strain G7591 chromosome, complete genome
NZ_CP053572.1 Serratia marcescens strain S7.1 chromosome, complete genome
NZ_CP017170.1 Myxococcus xanthus strain GH5.1.9c20 chromosome, complete genome
NZ_CP035207.1 Klebsiella quasipneumoniae strain TH114 chromosome, complete genome
NZ_CP035208.1 Klebsiella quasipneumoniae strain TH114 plasmid pTH114-3, complete sequence
NZ_CP035209.1 Klebsiella quasipneumoniae strain TH114 plasmid pTH114-1, complete sequence
NZ_CP013200.1 Arthrobacter alpinus strain ERGS4:06 chromosome, complete genome
NZ_CP013201.1 Arthrobacter alpinus strain ERGS4:06 plasmid pRK01, complete sequence
NZ_LR632930.1 Chitinophaga pinensis isolate 3 chromosome 1
NZ_AP017624.1 Mycobacterium ulcerans subsp. shinshuense strain ATCC 33728
NZ_AP017625.1 Mycobacterium ulcerans subsp. shinshuense strain ATCC 33728 plasmid pShTP, complete sequence
NZ_LR133932.1 Klebsiella oxytoca strain NCTC11356 chromosome 1
NC_006840.2 Aliivibrio fischeri ES114 chromosome I, complete sequence
NC_006841.2 Aliivibrio fischeri ES114 chromosome II, complete sequence
NC_006842.1 Aliivibrio fischeri ES114 plasmid pES100, complete sequence
NZ_LT703505.1 Mycobacterium chimaera strain Mycobacterium chimaera MC045 isolate Mycobacterium chimaera chromosome 1
NZ_LT703506.1 Mycobacterium chimaera strain Mycobacterium chimaera MC045 isolate Mycobacterium chimaera plasmid 2
NZ_LT703507.1 Mycobacterium chimaera strain Mycobacterium chimaera MC045 isolate Mycobacterium chimaera plasmid 3
NZ_LT703508.1 Mycobacterium chimaera strain Mycobacterium chimaera MC045 isolate Mycobacterium chimaera plasmid 4
NZ_LT703509.1 Mycobacterium chimaera strain Mycobacterium chimaera MC045 isolate Mycobacterium chimaera plasmid 5
NZ_LT703510.1 Mycobacterium chimaera strain Mycobacterium chimaera MC045 isolate Mycobacterium chimaera plasmid 6
NZ_CP011985.1 Klebsiella pneumoniae UHKPC07, complete genome
NZ_CP011986.1 Klebsiella pneumoniae UHKPC07 plasmid pUHKPC07-113.639kb, complete sequence
NZ_CP011987.1 Klebsiella pneumoniae UHKPC07 plasmid pUHKPC07-74.026kb, complete sequence
NZ_CP011988.1 Klebsiella pneumoniae UHKPC07 plasmid pUHKPC07-13.841kb, complete sequence
NZ_CP009495.1 Mycolicibacterium smegmatis strain INHR1 chromosome, complete genome
NZ_CP028668.1 Escherichia coli strain 117 chromosome, complete genome
NZ_CP028669.1 Escherichia coli strain 117 plasmid pTA117-2, complete sequence
NZ_CP028670.1 Escherichia coli strain 117 plasmid pTA117, complete sequence
NC_021149.1 Azotobacter vinelandii CA, complete genome
NC_016771.1 Bacillus cereus NC7401, complete genome
NC_016772.1 Bacillus cereus NC7401 plasmid pNC1, complete sequence
NC_016773.1 Bacillus cereus NC7401 plasmid pNC2, complete sequence
NC_016774.1 Bacillus cereus NC7401 plasmid pNC4, complete sequence
NC_016792.1 Bacillus cereus NC7401 plasmid pNCcld, complete sequence
NC_016793.1 Bacillus cereus NC7401 plasmid pNC3, complete sequence
NC_020419.1 Uncultured Termite group 1 bacterium phylotype Rs-D17, complete genome
NC_020420.1 Uncultured Termite group 1 bacterium phylotype Rs-D17 plasmid pTGRD1, complete sequence
NC_020421.1 Uncultured Termite group 1 bacterium phylotype Rs-D17 plasmid pTGRD2, complete sequence
NC_020422.1 Uncultured Termite group 1 bacterium phylotype Rs-D17 plasmid pTGRD3, complete sequence
NC_017570.1 Shewanella baltica BA175 plasmid pSBAL17501, complete sequence
NC_017572.1 Shewanella baltica BA175 plasmid pSBAL17502, complete sequence
NC_014834.1 Rhodopseudomonas palustris DX-1, complete sequence
NC_015693.1 Runella slithyformis DSM 19594 plasmid pRUNSL01, complete sequence
NC_015694.1 Runella slithyformis DSM 19594 plasmid pRUNSL03, complete sequence
NC_015695.1 Runella slithyformis DSM 19594 plasmid pRUNSL05, complete sequence
NC_015703.1 Runella slithyformis DSM 19594, complete sequence
NC_015704.1 Runella slithyformis DSM 19594 plasmid pRUNSL02, complete sequence
NC_015705.1 Runella slithyformis DSM 19594 plasmid pRUNSL04, complete sequence
NZ_CP015877.1 Pseudomonas aeruginosa SJTD-1 chromosome, complete genome
NC_014654.1 Halanaerobium hydrogeniformans, complete sequence
NC_007941.1 Escherichia coli UTI89 plasmid pUTI89, complete sequence
NC_007946.1 Escherichia coli UTI89, complete genome
NZ_CP015202.1 Pseudomonas putida B6-2 chromosome, complete genome
NC_013895.2 Mageeibacillus indolicus UPII9-5, complete sequence
NC_008601.1 Francisella tularensis subsp. novicida U112, complete genome
NC_016610.1 Tannerella forsythia 92A2, complete sequence
NC_014918.1 Mesorhizobium ciceri biovar biserrulae WSM1271 plasmid pMESCI01, complete sequence
NC_014923.1 Mesorhizobium ciceri biovar biserrulae WSM1271, complete sequence
NC_009338.1 Mycolicibacterium gilvum PYR-GCK, complete sequence
NC_009339.1 Mycolicibacterium gilvum PYR-GCK plasmid pMFLV01, complete sequence
NC_009340.1 Mycolicibacterium gilvum PYR-GCK plasmid pMFLV02, complete sequence
NC_009341.1 Mycolicibacterium gilvum PYR-GCK plasmid pMFLV03, complete sequence
NC_015846.1 Capnocytophaga canimorsus Cc5, complete sequence
NC_019905.1 Pseudomonas putida HB3267, complete sequence
NC_019906.1 Pseudomonas putida HB3267 plasmid pPC9, complete sequence
NC_003888.3 Streptomyces coelicolor A3(2) chromosome, complete genome
NC_003903.1 Streptomyces coelicolor A3(2) plasmid SCP1, complete sequence
NC_003904.1 Streptomyces coelicolor A3(2) plasmid SCP2, complete sequence
NC_012914.1 Paenibacillus sp. JDR-2, complete sequence
NC_017549.1 Pseudomonas aeruginosa NCGM2.S1 chromosome 1, complete sequence
NZ_CP011013.1 Lactobacillus mucosae LM1 chromosome, complete genome
NZ_CP011014.1 Lactobacillus mucosae LM1 plasmid pLM1, complete sequence
NC_019425.2 Carnobacterium maltaromaticum LMA28, complete genome
NC_008536.1 Candidatus Solibacter usitatus Ellin6076, complete sequence
NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217, complete genome
NC_018266.1 Amycolatopsis mediterranei S699, complete genome
NC_009786.1 Escherichia coli O139:H28 str. E24377A plasmid pETEC_80, complete sequence
NC_009787.1 Escherichia coli O139:H28 str. E24377A plasmid pETEC_35, complete sequence
NC_009788.1 Escherichia coli O139:H28 str. E24377A plasmid pETEC_73, complete sequence
NC_009789.1 Escherichia coli O139:H28 str. E24377A plasmid pETEC_6, complete sequence
NC_009790.1 Escherichia coli O139:H28 str. E24377A plasmid pETEC_74, complete sequence
NC_009791.1 Escherichia coli O139:H28 str. E24377A plasmid pETEC_5, complete sequence
NC_009801.1 Escherichia coli O139:H28 str. E24377A, complete sequence
NC_009035.1 Shewanella baltica OS155 plasmid pSbal01, complete sequence
NC_009036.1 Shewanella baltica OS155 plasmid pSbal02, complete sequence
NC_009037.1 Shewanella baltica OS155 plasmid pSbal03, complete sequence
NC_009038.1 Shewanella baltica OS155 plasmid pSbal04, complete sequence
NC_009052.1 Shewanella baltica OS155, complete sequence
NC_016077.1 Acidaminococcus intestini RyC-MR95, complete sequence
NC_018672.1 Paraburkholderia phenoliruptrix BR3459a chromosome 2, complete sequence
NC_018695.1 Paraburkholderia phenoliruptrix BR3459a chromosome 1, complete sequence
NC_018696.1 Paraburkholderia phenoliruptrix BR3459a plasmid pSYMBR3459, complete sequence
NC_011748.1 Escherichia coli 55989, complete genome
NC_018649.1 Leptospirillum ferriphilum ML-04, complete genome
NC_014972.1 Desulfobulbus propionicus DSM 2032, complete sequence
NC_003212.1 Listeria innocua Clip11262, complete genome
NC_003383.1 Listeria innocua Clip11262 plasmid pLI100, complete sequence
NC_013190.1 Candidatus Accumulibacter phosphatis clade IIA str. UW-1 plasmid pAph02, complete sequence
NC_013191.1 Candidatus Accumulibacter phosphatis clade IIA str. UW-1 plasmid pAph03, complete sequence
NC_013193.1 Candidatus Accumulibacter phosphatis clade IIA str. UW-1 plasmid pAph01, complete sequence
NC_013194.1 Candidatus Accumulibacter phosphatis clade IIA str. UW-1, complete genome
NC_011664.1 Shewanella baltica OS223 plasmid pS22301, complete sequence
NC_011665.1 Shewanella baltica OS223 plasmid pS22303, complete sequence
NC_011668.1 Shewanella baltica OS223 plasmid pS22302, complete sequence
NC_008525.1 Pediococcus pentosaceus ATCC 25745, complete sequence
NC_012032.1 Chloroflexus aurantiacus Y-400-fl, complete sequence
NC_010688.1 Xanthomonas campestris pv. campestris, complete genome
NC_007797.1 Anaplasma phagocytophilum str. HZ, complete sequence
NC_017301.2 Corynebacterium pseudotuberculosis C231, complete sequence
NC_018267.1 Wolbachia endosymbiont of Onchocerca ochengi, complete genome
NC_016776.1 Bacteroides fragilis 638R, complete genome
NC_017082.1 Bradyrhizobium sp. S23321, complete genome
NC_016972.1 Streptomyces hygroscopicus subsp. jinggangensis 5008 plasmid pSHJG2, complete sequence
NC_017765.1 Streptomyces hygroscopicus subsp. jinggangensis 5008, complete sequence
NC_017766.1 Streptomyces hygroscopicus subsp. jinggangensis 5008 plasmid pSHJG1, complete sequence
NC_009656.1 Pseudomonas aeruginosa PA7, complete genome
NC_011772.1 Bacillus cereus G9842, complete genome
NC_011774.1 Bacillus cereus G9842 plasmid pG9842_140, complete sequence
NC_011775.1 Bacillus cereus G9842 plasmid pG9842_209, complete sequence
NZ_CP032527.1 Bacillus megaterium NCT-2 chromosome, complete genome
NZ_CP032528.1 Bacillus megaterium NCT-2 plasmid pNCT2_1, complete sequence
NZ_CP032529.1 Bacillus megaterium NCT-2 plasmid pNCT2_10, complete sequence
NZ_CP032530.1 Bacillus megaterium NCT-2 plasmid pNCT2_2, complete sequence
NZ_CP032531.1 Bacillus megaterium NCT-2 plasmid pNCT2_3, complete sequence
NZ_CP032532.1 Bacillus megaterium NCT-2 plasmid pNCT2_4, complete sequence
NZ_CP032533.1 Bacillus megaterium NCT-2 plasmid pNCT2_5, complete sequence
NZ_CP032534.1 Bacillus megaterium NCT-2 plasmid pNCT2_6, complete sequence
NZ_CP032535.1 Bacillus megaterium NCT-2 plasmid pNCT2_7, complete sequence
NZ_CP032536.1 Bacillus megaterium NCT-2 plasmid pNCT2_8, complete sequence
NZ_CP032537.1 Bacillus megaterium NCT-2 plasmid pNCT2_9, complete sequence
NZ_CP005960.1 Pseudomonas mandelii JR-1 chromosome, complete genome
NZ_CP005961.1 Pseudomonas mandelii JR-1 plasmid unnamed, complete sequence
NC_015686.1 Clostridium acetobutylicum DSM 1731 plasmid pSMBa, complete sequence
NC_015687.1 Clostridium acetobutylicum DSM 1731, complete sequence
NC_015688.1 Clostridium acetobutylicum DSM 1731 plasmid pSMBb, complete sequence
NC_014622.1 Paenibacillus polymyxa SC2, complete genome
NC_014628.1 Paenibacillus polymyxa SC2 plasmid pSC2, complete sequence
NC_018665.1 Exiguobacterium antarcticum B7, complete sequence
NC_020887.2 Thermoclostridium stercorarium subsp. stercorarium DSM 8532, complete sequence
NC_018287.1 Phaeobacter inhibens DSM 17395 plasmid pPGA1_78, complete sequence
NC_018288.1 Phaeobacter inhibens DSM 17395 plasmid pPGA1_65, complete sequence
NC_018290.1 Phaeobacter inhibens DSM 17395, complete sequence
NC_018291.1 Phaeobacter inhibens DSM 17395 plasmid pPGA1_262, complete sequence
NC_018522.1 Klebsiella pneumoniae subsp. pneumoniae 1084, complete genome
NC_007948.1 Polaromonas sp. JS666, complete genome
NC_007949.1 Polaromonas sp. JS666 plasmid 1, complete sequence
NC_007950.1 Polaromonas sp. JS666 plasmid 2, complete sequence
NC_016936.1 Saprospira grandis str. Lewin plasmid, complete sequence
NC_016940.1 Saprospira grandis str. Lewin, complete genome
NC_020546.1 Bifidobacterium thermophilum RBL67, complete sequence
NC_020507.1 Bacillus subtilis subsp. subtilis 6051-HGW, complete genome
NC_009617.1 Clostridium beijerinckii NCIMB 8052, complete genome
NC_013508.1 Edwardsiella tarda EIB202, complete sequence
NC_013509.1 Edwardsiella tarda EIB202 plasmid pEIB202, complete sequence
NC_010322.1 Pseudomonas putida GB-1, complete sequence
NC_018419.1 Secondary endosymbiont of Ctenarytaina eucalypti, complete sequence
NC_019738.1 Microcoleus sp. PCC 7113, complete sequence
NC_019740.1 Microcoleus sp. PCC 7113 plasmid pMIC7113.03, complete sequence
NC_019741.1 Microcoleus sp. PCC 7113 plasmid pMIC7113.05, complete sequence
NC_019742.1 Microcoleus sp. PCC 7113 plasmid pMIC7113.06, complete sequence
NC_019743.1 Microcoleus sp. PCC 7113 plasmid pMIC7113.08, complete sequence
NC_019760.1 Microcoleus sp. PCC 7113 plasmid pMIC7113.02, complete sequence
NC_019761.1 Microcoleus sp. PCC 7113 plasmid pMIC7113.04, complete sequence
NC_019762.1 Microcoleus sp. PCC 7113 plasmid pMIC7113.07, complete sequence
NC_005966.1 Acinetobacter baylyi ADP1, complete genome
NC_011004.1 Rhodopseudomonas palustris TIE-1, complete sequence
NC_015733.1 Pseudomonas putida S16, complete sequence
NC_009138.1 Herminiimonas arsenicoxydans chromosome, complete sequence
NZ_CP047131.1 Bacillus anthracis str. BF1 chromosome, complete genome
NZ_CP047132.1 Bacillus anthracis str. BF1 plasmid pXO1, complete sequence
NZ_CP047133.1 Bacillus anthracis str. BF1 plasmid pXO2, complete sequence
NC_010394.1 Mycobacterium abscessus plasmid, complete sequence
NC_010397.1 Mycobacterium abscessus chromosome, complete sequence
NC_018708.1 Acidovorax sp. KKS102, complete sequence
NC_015410.1 Pseudomonas mendocina NK-01, complete sequence
NC_019677.1 Nostoc sp. PCC 7524 plasmid pNOS7524.01, complete sequence
NC_019684.1 Nostoc sp. PCC 7524, complete sequence
NC_019685.1 Nostoc sp. PCC 7524 plasmid pNOS7524.02, complete sequence
NC_010501.1 Pseudomonas putida W619, complete sequence
NC_007519.1 Desulfovibrio alaskensis G20, complete sequence
NZ_CP029003.1 Actinobacillus pleuropneumoniae serovar 1 str. 4074 chromosome, complete genome
NC_019386.1 Thermus oshimai JL-2, complete genome
NC_019387.1 Thermus oshimai JL-2 plasmid pTHEOS01, complete sequence
NC_019388.1 Thermus oshimai JL-2 plasmid pTHEOS02, complete sequence
NC_010677.1 Francisella tularensis subsp. mediasiatica FSC147, complete genome
NC_002927.3 Bordetella bronchiseptica RB50, complete genome
NC_019957.1 Mycobacterium sp. JS623 plasmid pMYCSM01, complete sequence
NC_019958.1 Mycobacterium sp. JS623 plasmid pMYCSM02, complete sequence
NC_019959.1 Mycobacterium sp. JS623 plasmid pMYCSM03, complete sequence
NC_019966.1 Mycobacterium sp. JS623, complete genome
NC_014171.1 Bacillus thuringiensis BMB171, complete sequence
NC_014172.1 Bacillus thuringiensis BMB171 plasmid pBMB171, complete sequence
NC_009829.1 Serratia proteamaculans 568 plasmid pSPRO01, complete sequence
NC_009832.1 Serratia proteamaculans 568, complete genome
NC_015711.1 Myxococcus macrosporus, complete sequence
NC_017660.1 Escherichia coli KO11FL, complete sequence
NC_017661.1 Escherichia coli KO11FL plasmid pRK2, complete sequence
NC_012559.1 Laribacter hongkongensis HLHK9, complete sequence
NC_021025.1 Mycoplasma mycoides subsp. mycoides SC str. Gladysdale, complete sequence
NC_011311.1 Aliivibrio salmonicida LFI1238 plasmid pVSAL840, complete sequence
NC_011312.1 Aliivibrio salmonicida LFI1238 chromosome 1, complete sequence
NC_011313.1 Aliivibrio salmonicida LFI1238 chromosome 2, complete sequence
NC_011314.1 Aliivibrio salmonicida LFI1238 plasmid pVSAL320, complete sequence
NC_011315.1 Aliivibrio salmonicida LFI1238 plasmid pVSAL54, complete sequence
NC_011316.1 Aliivibrio salmonicida LFI1238 plasmid pVSAL43, complete sequence
NC_017639.1 Escherichia coli UMNK88 plasmid pUMNK88_K88, complete sequence
NC_017640.1 Escherichia coli UMNK88 plasmid pUMNK88_Ent, complete sequence
NC_017641.1 Escherichia coli UMNK88, complete sequence
NC_017642.1 Escherichia coli UMNK88 plasmid pUMNK88_91, complete sequence
NC_017643.1 Escherichia coli UMNK88 plasmid pUMNK88_Hly, complete sequence
NC_017645.1 Escherichia coli UMNK88 plasmid pUMNK88, complete sequence
NC_010466.1 Leuconostoc citreum KM20 plasmid pLCK2, complete sequence
NC_010467.1 Leuconostoc citreum KM20 plasmid pLCK3, complete sequence
NC_010469.1 Leuconostoc citreum KM20 plasmid pLCK4, complete sequence
NC_010470.1 Leuconostoc citreum KM20 plasmid pLCK1, complete sequence
NC_010471.1 Leuconostoc citreum KM20, complete sequence
NC_005296.1 Rhodopseudomonas palustris CGA009, complete genome
NC_005297.1 Rhodopseudomonas palustris CGA009 plasmid pRPA, complete sequence
NZ_CP046035.1 Pseudomonas coronafaciens pv. oryzae str. 1_6 chromosome, complete genome
NZ_CP046036.1 Pseudomonas coronafaciens pv. oryzae str. 1_6 plasmid pPor1_6, complete sequence
NC_017630.1 Escherichia coli UM146 plasmid pUM146, complete sequence
NC_017632.1 Escherichia coli UM146, complete sequence
NC_017986.1 Pseudomonas putida ND6, complete genome
NC_018746.1 Pseudomonas putida ND6 plasmid pND6-2, complete sequence
NC_014973.1 Geobacter sp. M18, complete sequence
NC_016947.1 Mycobacterium intracellulare MOTT-02, complete sequence
NC_009879.1 Rickettsia canadensis str. McKiel, complete genome
NC_010519.1 Histophilus somni 2336, complete sequence
NC_017726.1 Bacillus anthracis str. H9401 plasmid BAP1, complete sequence
NC_017727.1 Bacillus anthracis str. H9401 plasmid BAP2, complete sequence
NC_017729.1 Bacillus anthracis str. H9401, complete genome
NC_010935.1 Comamonas testosteroni CNB-1 plasmid pCNB, complete sequence
NC_013446.2 Comamonas testosteroni CNB-2, complete genome
NC_014752.1 Neisseria lactamica 020-06, complete genome
NC_007205.1 Candidatus Pelagibacter ubique HTCC1062, complete genome
NC_017904.1 Mycobacterium sp. MOTT36Y, complete sequence
NC_018491.1 Bacillus cereus FRI-35, complete genome
NC_018492.1 Bacillus cereus FRI-35 plasmid p01, complete sequence
NC_018493.1 Bacillus cereus FRI-35 plasmid p02, complete sequence
NC_018494.1 Bacillus cereus FRI-35 plasmid p04, complete sequence
NC_018499.1 Bacillus cereus FRI-35 plasmid p03, complete sequence
NC_008463.1 Pseudomonas aeruginosa UCBPP-PA14, complete genome
NC_012846.1 Bartonella grahamii as4aup, complete genome
NC_012847.1 Bartonella grahamii as4aup plasmid pBGR3, complete sequence
NC_009337.1 Chlorobium phaeovibrioides DSM 265, complete genome
NC_016585.1 Azospirillum lipoferum 4B plasmid AZO_p1, complete sequence
NC_016586.1 Azospirillum lipoferum 4B plasmid AZO_p2, complete sequence
NC_016587.1 Azospirillum lipoferum 4B plasmid AZO_p4, complete sequence
NC_016588.1 Azospirillum lipoferum 4B plasmid AZO_p6, complete sequence
NC_016622.1 Azospirillum lipoferum 4B, complete genome
NC_016623.1 Azospirillum lipoferum 4B plasmid AZO_p3, complete sequence
NC_016624.1 Azospirillum lipoferum 4B plasmid AZO_p5, complete sequence
NC_008595.1 Mycobacterium avium 104, complete genome
NC_015975.1 Lactobacillus ruminis ATCC 27782, complete sequence
NC_009648.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete sequence
NC_009649.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN3, complete sequence
NC_009650.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN4, complete sequence
NC_009651.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN5, complete sequence
NC_009652.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN6, complete sequence
NC_009653.1 Klebsiella pneumoniae subsp. pneumoniae MGH 78578 plasmid pKPN7, complete sequence
NC_010678.1 Ralstonia pickettii 12J chromosome 2, complete sequence
NC_010682.1 Ralstonia pickettii 12J chromosome 1, complete sequence
NC_010683.1 Ralstonia pickettii 12J plasmid pRPIC01, complete sequence
NC_013893.1 Staphylococcus lugdunensis HKU09-01, complete genome
NC_017577.1 Shewanella baltica OS117 plasmid pSBAL11701, complete sequence
NC_017578.1 Shewanella baltica OS117 plasmid pSBAL11703, complete sequence
NC_017579.1 Shewanella baltica OS117, complete sequence
NC_017580.1 Shewanella baltica OS117 plasmid pSBAL11702, complete sequence
NC_014621.1 Ketogulonicigenium vulgare Y25 plasmid pYP1, complete sequence
NC_014625.1 Ketogulonicigenium vulgare Y25, complete sequence
NC_014626.1 Ketogulonicigenium vulgare Y25 plasmid pYP12, complete sequence
NC_009475.1 Bradyrhizobium sp. BTAi1 plasmid pBBta01, complete sequence
NC_009485.1 Bradyrhizobium sp. BTAi1, complete sequence
NC_012039.1 Campylobacter lari RM2100, complete sequence
NC_012040.1 Campylobacter lari RM2100 plasmid pCL2100, complete sequence
NC_015125.1 Microbacterium testaceum StLB037, complete genome
NC_011742.1 Escherichia coli S88, complete genome
NC_011747.1 Escherichia coli S88 plasmid pECOS88, complete sequence
NC_009523.1 Roseiflexus sp. RS-1, complete genome
NC_019682.1 Calothrix sp. PCC 7507, complete sequence
NC_012655.1 Bacillus anthracis str. A0248 plasmid pXO2, complete sequence
NC_012656.1 Bacillus anthracis str. A0248 plasmid pXO1, complete sequence
NC_012659.1 Bacillus anthracis str. A0248, complete genome
NC_008703.1 Mycobacterium sp. KMS plasmid pMKMS01, complete sequence
NC_008704.1 Mycobacterium sp. KMS plasmid pMKMS02, complete sequence
NC_008705.1 Mycobacterium sp. KMS, complete sequence
NC_010604.1 Mycobacterium marinum M plasmid pMM23, complete sequence
NC_010612.1 Mycobacterium marinum M, complete genome
NZ_CP018202.1 Pseudomonas syringae pv. actinidiae ICMP 9853, complete genome
NZ_CP018203.1 Pseudomonas syringae pv. actinidiae ICMP 9853 plasmid p9853_A, complete sequence
NZ_CP018204.1 Pseudomonas syringae pv. actinidiae ICMP 9853 plasmid p9853_B, complete sequence
NC_009654.1 Marinomonas sp. MWYL1, complete genome
NC_007514.1 Chlorobium chlorochromatii CaD3, complete genome
NC_008011.1 Lawsonia intracellularis PHE/MN1-00, complete genome
NC_008012.1 Lawsonia intracellularis PHE/MN1-00 plasmid 1, complete sequence
NC_008013.1 Lawsonia intracellularis PHE/MN1-00 plasmid 2, complete sequence
NC_008014.1 Lawsonia intracellularis PHE/MN1-00 plasmid 3, complete sequence
NC_017845.1 Pectobacterium parmentieri, complete sequence
NC_015558.1 Streptococcus parauberis KCTC 11537, complete genome
NC_013957.1 Erwinia amylovora CFBP1430 plasmid pEA29, complete sequence
NC_013961.1 Erwinia amylovora CFBP1430, complete genome
NC_014331.1 Bacillus cereus biovar anthracis str. CI plasmid pCI-XO1, complete sequence
NC_014332.1 Bacillus cereus biovar anthracis str. CI plasmid pCI-XO2, complete sequence
NC_014333.1 Bacillus cereus biovar anthracis str. CI plasmid pBAslCI14, complete sequence
NC_014335.1 Bacillus cereus biovar anthracis str. CI, complete genome
NC_015213.1 Lactobacillus amylovorus plasmid pRKC30SC1, complete sequence
NC_015214.1 Lactobacillus amylovorus, complete sequence
NC_015218.1 Lactobacillus amylovorus plasmid pRKC30SC2, complete sequence
NC_015566.1 Serratia sp. AS12, complete sequence
NC_014147.1 Moraxella catarrhalis BBH18, complete genome
NC_008573.1 Shewanella sp. ANA-3 plasmid unnamed1, complete sequence
NC_008577.1 Shewanella sp. ANA-3 chromosome 1, complete sequence
NC_018508.1 Bacillus thuringiensis HD-789, complete sequence
NC_018509.1 Bacillus thuringiensis HD-789 plasmid pBTHD789-2, complete sequence
NC_018510.1 Bacillus thuringiensis HD-789 plasmid pBTHD789-3, complete sequence
NC_018511.1 Bacillus thuringiensis HD-789 plasmid pBTHD789-5, complete sequence
NC_018512.1 Bacillus thuringiensis HD-789 plasmid pBTHD789-6, complete sequence
NC_018516.1 Bacillus thuringiensis HD-789 plasmid pBTHD789-1, complete sequence
NC_018517.1 Bacillus thuringiensis HD-789 plasmid pBTHD789-4, complete sequence
NC_016043.1 Taylorella asinigenitalis MCE3, complete genome
NC_016826.1 Streptococcus infantarius subsp. infantarius CJ18, complete sequence
NC_016837.1 Streptococcus infantarius subsp. infantarius CJ18 plasmid pSICJ18-1, complete sequence
NC_007354.1 Ehrlichia canis str. Jake, complete genome
NC_011386.1 Oligotropha carboxidovorans OM5, complete sequence
NC_015709.1 Zymomonas mobilis subsp. pomaceae ATCC 29192, complete sequence
NC_015715.1 Zymomonas mobilis subsp. pomaceae ATCC 29192 plasmid pZYMOP01, complete sequence
